idiom_en,meaning_en,literal_en,sentence_en
It's getting late,To get late or it is getting late,,
letting loose,"Laziness, disorderly, indecent, and shameless behavior",,
running wild,"Laziness, disorderly, indecent, and shameless behavior",,
devil-may-care attitude,"Laziness, disorderly, indecent, and shameless behavior",,
finery,"Clothing and ornaments, ornate adornment including jewelry",,
boundless,"extremely, boundless",,
limitless,"extremely, boundless",,
reckless,"short-sighted, impulsive",,
act without thinking,"short-sighted, impulsive",,
Blind drunk,Out of one's mind or completely senseless due to drunkenness,,
garland of victory,A five-foot long garland extending from the neck to the knees,,
divine necklace,A five-foot long garland extending from the neck to the knees,,
Crossing the River Styx,The path to heaven,,
Passing through the pearly gates,The path to heaven,,
to send to the great beyond,to murder or kill,,
to cross the River Styx,to murder or kill,,
Passing over to the other side,Falling into the jaws of death; ascending to heaven,,
To cheat death,To be rescued from danger or crisis,,
To escape by the skin of one's teeth,To be rescued from danger or crisis,,
To come through unscathed,To be rescued from danger or crisis,,
non-attachment,Detachment from worldly affairs; indifference to material pleasures,,
renunciation of worldly desires,Detachment from worldly affairs; indifference to material pleasures,,
baggage,A traveler's baggage or luggage,,
Master of illusion,A woman skilled in achieving the impossible or in futile tasks; illusion (Maya),,
Weaver of dreams,A woman skilled in achieving the impossible or in futile tasks; illusion (Maya),,
back-and-forth,question and answer; question and counter-question,,
tit for tat questioning,question and answer; question and counter-question,,
Q and A,question and answer; question and counter-question,,
total dimwit,Extreme fool; utterly incompetent or lazy,,
carry the load,responsibility,,
come to an understanding,Settlement or resolution through discussion; compromise,,
reach a compromise,Settlement or resolution through discussion; compromise,,
the straw that breaks the camel's back,Even a slight additional burden feels heavy on top of a massive load,,
one more thing too many,Even a slight additional burden feels heavy on top of a massive load,,
Make a strategic move,Applying strategy or tactics,,
sly move,application of cunning strategy,,
underhanded tactic,application of cunning strategy,,
booze companion,"friendship with the bottle, implying a drinking companion or alcoholic",,
Give someone a sound thrashing,To give a thorough beating; to thrash someone severely,,
bona fide,"genuine, authentic, real, true",,
Genuine,Legal; in good faith,,
Authentic,Legal; in good faith,,
Crying on the inside,"Suppressed or silent crying from within, stifled sobs",,
Silent tears,"Suppressed or silent crying from within, stifled sobs",,
Bottled-up emotions,"Suppressed or silent crying from within, stifled sobs",,
to be blown away,to be taken aback or stunned,,
to be caught off guard,to be taken aback or stunned,,
bombastic,"Excessively pompous or ornate, full of meaningless verbosity",,
grandiloquent,"Excessively pompous or ornate, full of meaningless verbosity",,
bedside manner,"manner of speaking and behaving, polite conversation and etiquette",,
Stirring up a hornet's nest,To enrage a ferocious crowd through one's own misconduct,,
Stir up the hornet's nest,To provoke or irritate an enemy,,
opulence and grandeur,progress; influence; splendor; prosperity,,
Posterity,Heir; subsequent generation or descendants,,
Future generations,Heir; subsequent generation or descendants,,
Bohemian,"A person who wanders freely, a vagabond",,
Wanderlust,"A person who wanders freely, a vagabond",,
unique individual,A distinct individual human,,
All in a flap,Extremely busy; very anxious or flustered,,
Rushed off one's feet,Extremely busy; very anxious or flustered,,
always in a rush,One who hurries excessively due to being overly busy,,
all atwitter,extreme busyness; excessive restlessness; anxiety,,
Taking it out on the wrong person,To punish or beat an innocent person,,
Rising stars,Scholars or luminaries of future generations,,
Worthy successors,Scholars or luminaries of future generations,,
Picking on the weak,Teasing or causing distress to innocent or harmless people,,
Bullying the innocent,Teasing or causing distress to innocent or harmless people,,
Use a sledgehammer to crack a nut,Using elaborate preparations for a trivial task that doesn't require it,,
Kill a fly with a cannon,Using elaborate preparations for a trivial task that doesn't require it,,
to prattle on,To keep talking annoyingly for a long time; to constantly babble nonsense,,
to rabbit on,To keep talking annoyingly for a long time; to constantly babble nonsense,,
the widow's mite,"The tiniest savings or wealth of the extremely poor, which serves as a source of their pride",,
every little helps,"The tiniest savings or wealth of the extremely poor, which serves as a source of their pride",,
mushrooming,"Something that has suddenly proliferated or grown uncontrollably, often implying unauthorized or haphazard expansion",,
springing up like mushrooms,"Something that has suddenly proliferated or grown uncontrollably, often implying unauthorized or haphazard expansion",,
sarcastic remark,A statement full of sarcasm - a specific figure of speech,,
ironic statement,A statement full of sarcasm - a specific figure of speech,,
bald pate with a topknot,Tuft of hair (shikha or small lock left after shaving the head),,
Rocky soil,Barren elevated land,,
Sterile ground,Barren elevated land,,
Silver bullet,An infallible remedy or a decisive weapon,,
Knockout punch,An infallible remedy or a decisive weapon,,
Brahma Muhurta (direct equivalent in English contexts),The period of one hour and twenty minutes before sunrise,,
The wee small hours,The period of one hour and twenty minutes before sunrise,,
To believe is to see God,"God protects the devotee; ironically - without a devotee, there is no God",,
"Man proposes, God disposes",No one can challenge or break the rule of divine providence,,
"What God wills, no man can alter",No one can challenge or break the rule of divine providence,,
bearer of bad news,A messenger who brings news of one's own side's defeat from the battlefield,,
herald of defeat,A messenger who brings news of one's own side's defeat from the battlefield,,
To break ranks,To flee; to withdraw from a confrontation,,
Turned upside down,Upside down; disturbed; in distress,,
In turmoil,Upside down; disturbed; in distress,,
All at sixes and sevens,Upside down; disturbed; in distress,,
soft soap,Misleading or persuading someone falsely for one's own selfish gain,,
one's bible,Necessary item; cherished possession,,
prized possession,Necessary item; cherished possession,,
Polite to a fault,Ordinary sense of courtesy,,
The burden of politeness,Ordinary sense of courtesy,,
drifter,A homeless and penniless person; someone who wanders everywhere without any job or purpose,,
hobo,A homeless and penniless person; someone who wanders everywhere without any job or purpose,,
The river of life,The river of worldly existence,,
The flow of samsara,The river of worldly existence,,
Crossing the Jordan,Liberation from the cycle of worldly existence by crossing the river of samsara,,
Reaching the other shore,Liberation from the cycle of worldly existence by crossing the river of samsara,,
